student_id,problem_solving,coding_speed,debugging_skill,logic_thinking,typing_speed_wpm,hours_coding_daily,cs_fundamentals
1,47.0,0.65,0.79,51,79,6.3,88
2,68.0,1.22,0.95,81,91,1.4,49
3,25.0,1.42,0.26,64,82,6.2,67
4,67.0,1.93,0.52,66,37,7.6,59
5,83.0,1.02,0.87,98,88,5.2,83
6,23.0,0.91,0.46,75,80,3.0,90
7,92.0,1.17,0.11,99,78,5.7,60
8,57.0,1.94,0.8,96,108,6.0,42
9,14.0,0.77,0.5,83,77,5.6,87
10,,0.71,0.2,71,92,2.0,48
11,72.0,0.63,0.88,69,107,7.8,98
12,89.0,1.32,0.27,68,113,7.7,60
13,,0.97,0.24,50,107,4.0,97
14,90.0,0.92,0.37,63,54,5.2,88
15,8.0,1.88,0.39,60,97,1.3,50
16,39.0,1.15,0.23,77,37,7.9,72
17,68.0,1.13,0.18,78,79,6.7,98
18,48.0,1.98,0.4,58,62,5.5,85
19,7.0,1.69,0.84,83,63,6.3,42
20,44.0,1.01,,86,105,2.3,62
21,0.0,0.95,0.64,75,98,3.2,100
22,75.0,1.26,0.5,94,91,2.7,43
23,55.0,1.43,0.47,92,108,5.2,81
24,6.0,1.49,0.47,78,73,1.6,68
25,19.0,0.89,0.94,57,106,7.3,93
26,60.0,1.11,0.74,99,46,4.2,55
27,44.0,1.5,0.04,65,56,4.1,92
28,63.0,1.16,,50,38,1.7,85
29,,1.67,0.51,68,82,5.8,78
30,56.0,1.53,0.18,89,109,6.7,49
31,24.0,1.61,0.39,94,52,5.4,81
32,55.0,1.23,0.94,98,86,2.7,81
33,53.0,1.93,0.21,50,83,6.5,76
34,61.0,0.73,0.81,94,64,2.0,80
35,64.0,1.47,0.4,59,42,6.8,52
36,34.0,1.34,0.59,96,34,5.1,74
37,56.0,1.8,0.19,84,74,3.0,76
38,73.0,0.72,0.81,98,85,4.6,62
39,78.0,1.17,0.58,93,50,5.4,45
40,38.0,1.49,,55,73,2.8,99
41,4.0,1.49,0.8,71,79,6.9,55
42,9.0,1.76,0.54,66,48,3.9,43
43,87.0,1.3,,91,86,7.2,77
44,99.0,0.56,0.02,61,51,6.8,90
45,67.0,0.64,0.68,92,80,1.7,62
46,,1.7,0.49,82,52,5.5,86
47,83.0,1.1,0.22,90,48,3.2,54
48,48.0,1.52,0.55,86,99,6.3,76
49,1.0,1.25,0.52,55,35,4.8,59
50,64.0,1.1,0.49,78,35,4.2,90
